# Rob Route B (codex 0094 §4) output-cone partition coverage.
# Each of the 2343 authored Rob outputs assigned to EXACTLY ONE partition.
# union == full set (total), no output in >=2 partitions (disjoint).
# columns: output_port	partition	partition_module
io_enq_canAccept	commit	Rob_pCommit
io_enq_canAcceptForDispatch	commit	Rob_pCommit
io_enq_isEmpty	commit	Rob_pCommit
io_flushOut_valid	commit	Rob_pCommit
io_flushOut_bits_isRVC	commit	Rob_pCommit
io_flushOut_bits_robIdx_flag	commit	Rob_pCommit
io_flushOut_bits_robIdx_value	commit	Rob_pCommit
io_flushOut_bits_ftqIdx_flag	commit	Rob_pCommit
io_flushOut_bits_ftqIdx_value	commit	Rob_pCommit
io_flushOut_bits_ftqOffset	commit	Rob_pCommit
io_flushOut_bits_level	commit	Rob_pCommit
io_exception_valid	exception	Rob_pException
io_exception_bits_commitType	exception	Rob_pException
io_exception_bits_exceptionVec_0	exception	Rob_pException
io_exception_bits_exceptionVec_1	exception	Rob_pException
io_exception_bits_exceptionVec_2	exception	Rob_pException
io_exception_bits_exceptionVec_3	exception	Rob_pException
io_exception_bits_exceptionVec_4	exception	Rob_pException
io_exception_bits_exceptionVec_5	exception	Rob_pException
io_exception_bits_exceptionVec_6	exception	Rob_pException
io_exception_bits_exceptionVec_7	exception	Rob_pException
io_exception_bits_exceptionVec_8	exception	Rob_pException
io_exception_bits_exceptionVec_9	exception	Rob_pException
io_exception_bits_exceptionVec_10	exception	Rob_pException
io_exception_bits_exceptionVec_11	exception	Rob_pException
io_exception_bits_exceptionVec_12	exception	Rob_pException
io_exception_bits_exceptionVec_13	exception	Rob_pException
io_exception_bits_exceptionVec_14	exception	Rob_pException
io_exception_bits_exceptionVec_15	exception	Rob_pException
io_exception_bits_exceptionVec_16	exception	Rob_pException
io_exception_bits_exceptionVec_17	exception	Rob_pException
io_exception_bits_exceptionVec_18	exception	Rob_pException
io_exception_bits_exceptionVec_19	exception	Rob_pException
io_exception_bits_exceptionVec_20	exception	Rob_pException
io_exception_bits_exceptionVec_21	exception	Rob_pException
io_exception_bits_exceptionVec_22	exception	Rob_pException
io_exception_bits_exceptionVec_23	exception	Rob_pException
io_exception_bits_isPcBkpt	exception	Rob_pException
io_exception_bits_isFetchMalAddr	exception	Rob_pException
io_exception_bits_gpaddr	exception	Rob_pException
io_exception_bits_singleStep	exception	Rob_pException
io_exception_bits_crossPageIPFFix	exception	Rob_pException
