# Rob FM assembly — 262 body-driven output ports (the 2343-2081=262 not directly leaf-passthrough)
# tier: A_CORE (xs_Rob_core produces) | B_SHALLOW_REGNEXT (RegNext of both-side leaf output) | C_DEEP (golden deep datapath/counter — the real blocker)
# generated by agent/rob from golden/chisel-rtl/Rob.sv output-formation body; golden_driver = RHS of 'assign <port> = ...'
# summary: A_CORE=70  B_SHALLOW_REGNEXT=92  C_DEEP=100  (leaf-passthrough=2081 not listed)
port	tier	golden_driver
io_commits_commitValid_0	A_CORE	io_commits_commitValid_0_0;
io_commits_commitValid_1	A_CORE	io_commits_commitValid_1_0;
io_commits_commitValid_2	A_CORE	io_commits_commitValid_2_0;
io_commits_commitValid_3	A_CORE	io_commits_commitValid_3_0;
io_commits_commitValid_4	A_CORE	io_commits_commitValid_4_0;
io_commits_commitValid_5	A_CORE	io_commits_commitValid_5_0;
io_commits_commitValid_6	A_CORE	io_commits_commitValid_6_0;
io_commits_commitValid_7	A_CORE	io_commits_commitValid_7_0;
io_commits_info_0_commitType	A_CORE	rawInfo_0_commitType;
io_commits_info_0_ftqIdx_flag	A_CORE	rawInfo_0_ftqIdx_flag;
io_commits_info_0_ftqIdx_value	A_CORE	rawInfo_0_ftqIdx_value;
io_commits_info_0_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_info_1_commitType	A_CORE	rawInfo_1_commitType;
io_commits_info_1_ftqIdx_flag	A_CORE	_GEN_12[_deqPtrGenModule_io_out_1_value[2:0]];
io_commits_info_1_ftqIdx_value	A_CORE	rawInfo_1_ftqIdx_value;
io_commits_info_1_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_info_2_commitType	A_CORE	rawInfo_2_commitType;
io_commits_info_2_ftqIdx_flag	A_CORE	_GEN_12[_deqPtrGenModule_io_out_2_value[2:0]];
io_commits_info_2_ftqIdx_value	A_CORE	rawInfo_2_ftqIdx_value;
io_commits_info_2_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_info_3_commitType	A_CORE	rawInfo_3_commitType;
io_commits_info_3_ftqIdx_flag	A_CORE	_GEN_12[_deqPtrGenModule_io_out_3_value[2:0]];
io_commits_info_3_ftqIdx_value	A_CORE	rawInfo_3_ftqIdx_value;
io_commits_info_3_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_info_4_commitType	A_CORE	rawInfo_4_commitType;
io_commits_info_4_ftqIdx_flag	A_CORE	_GEN_12[_deqPtrGenModule_io_out_4_value[2:0]];
io_commits_info_4_ftqIdx_value	A_CORE	rawInfo_4_ftqIdx_value;
io_commits_info_4_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_info_5_commitType	A_CORE	rawInfo_5_commitType;
io_commits_info_5_ftqIdx_flag	A_CORE	_GEN_12[_deqPtrGenModule_io_out_5_value[2:0]];
io_commits_info_5_ftqIdx_value	A_CORE	rawInfo_5_ftqIdx_value;
io_commits_info_5_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_info_6_commitType	A_CORE	rawInfo_6_commitType;
