per-entry=59b x160=9440 reg-bits
field                           w   x160       %
uopNum                          7   1120   11.9%
realDestSize                    7   1120   11.9%
ftqIdx_value                    6    960   10.2%
fflags                          5    800    8.5%
ftqOffset                       4    640    6.8%
traceBlockInPipe_itype          4    640    6.8%
traceBlockInPipe_iretire        4    640    6.8%
commitType                      3    480    5.1%
instrSize                       3    480    5.1%
valid                           1    160    1.7%
stdWritebacked                  1    160    1.7%
needFlush                       1    160    1.7%
interrupt_safe                  1    160    1.7%
mmio                            1    160    1.7%
vls                             1    160    1.7%
vxsat                           1    160    1.7%
rfWen                           1    160    1.7%
fpWen                           1    160    1.7%
wflags                          1    160    1.7%
dirtyVs                         1    160    1.7%
isRVC                           1    160    1.7%
isVset                          1    160    1.7%
isHls                           1    160    1.7%
ftqIdx_flag                     1    160    1.7%
traceBlockInPipe_ilastsize      1    160    1.7%
